"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b13247931"	"08-31-2011"	"MEDLINE [computer file] / National Library of Medicine"	"MEDlars onLINE"	"Information from MEDLINE is used to generate Index medicus, the International nursing index, the Index to dental literature, and other subject bibliographies"|"Available via Internet,http://apps.webofknowledge.com/MEDLINE_GeneralSearch_input.do?product=MEDLINE&search_mode=GeneralSearch"	""	"Journals published internationally, covering all areas of medicine. Coverage: 1950 - current"	"Anthropology"|"Biology"|"Health and medicine"|"Natural sciences"|"Psychology"|"Sport science"	"View online http://0-apps.webofknowledge.com.tiger.coloradocollege.edu/MEDLINE_GeneralSearch_input.do?product=MEDLINE&search_mode=GeneralSearch"
"b1324811x"	"08-01-2011"	"LEXIS-NEXIS academic universe [computer file]"	"Colorado College: Academic universe"	"Available via Internet, http://web.lexis-nexis.com/universe"	"Mode of access: Internet"	"Access to popular press material such as newspaper articles. Also contains law review articles. Coverage: 1977 - current"	"All subjects"|"Book reviews"|"Economics and business"|"Government information"|"Law"|"Political science"|"Sociology"	"View online version http://0-web.lexis-nexis.com.tiger.coloradocollege.edu/universe"
"b13255411"	"03-20-2012"	"National Criminal Justice Reference Service abstracts database [computer file] / U.S. Department of Justice, National Institute of Justice"	"Abstracts database"|"Title on container: NCJRS abstracts database"|"Title on verso of container: NCJRS abstracts database on CD-ROM"	"Contents also available in online maintained version on the World Wide Web"	"System requirements for DOS: IBM PC or compatible; 512K; DOS 3.0 or higher; CD-ROM drive"|"System requirements for Windows: requires 2MB of extended memory, 20MB hard drive, VGA monitor, Microsoft windows 3.1 or later, Microsoft CD extensions (MSCDEX.EXE) to access the CD-ROM drive"	"The NCJRS Abstracts Database contains summaries of the more than 210,000 criminal justice, juvenile justice, and substance abuse resources housed in the NCJRS (National Criminal Justice Reference Center) Library collection."	"Government information"	"View online version http://www.ncjrs.gov/App/AbstractDB/AbstractDBSearch.aspx"|"Alternate link http://purl.access.gpo.gov/GPO/LPS523"
"b1327949x"	"02-08-2013"	"Bibliography of Asian studies [computer file]"	"Title from title bar: BAS online"|"BAS"	""	"Available via Internet, http://bmc.lib.umich.edu/bas/"	"Western-language mongraphs, articles and book chapters on all parts of Asia. Coverage: 1971 - current"	"Asian studies"|"Chinese language and literature"|"History"|"Japanese language and literature"	"View online version http://0-bmc.lib.umich.edu.tiger.coloradocollege.edu/bas/"
"b13289081"	"04-29-2008"	"National Archives and Records Administration [computer file]"	"NARA"|"CLIO : the National Archives Information Server"|"National Archives Information Server"	""	"Available via Internet, http://www.archives.gov/"	"Description and many links to digital copies of the documents, photographs and maps housed in the National Archives and regional branches. Coverage:  historical"	"Government information"|"History"	"View online: http://www.archives.gov/"
"b13289123"	"04-22-2011"	"THOMAS [computer file] : legislative information on the Internet"	""	""	"System requirements: World Wide Web (WWW) browser software"|"Mode of access: Internet. Address as of 11/6/00: http://thomas.loc.gov/; current access is available via PURL"	"Federal legislative information: bills, resolutions, Congressional Record, schedules, calendars, committee information, Presidential Nominations, treaties and government resources. Coverage: 1967 - current"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS4046"
"b13289172"	"08-12-2011"	"Core documents of our democracy [electronic resource]"	""	""	"Available via Internet, http://www.gpo.gov/libraries/core_docs.htm"	"Core group of current and historical government publications that define U.S. democratic society."	"Government information"	"View online http://www.gpo.gov/libraries/core_docs.htm"
"b13289184"	"11-07-2009"	"Colorado by the numbers [computer file]"	""	""	"Available via Internet, http://www.colorado.edu/libraries/govpubs/online.htm"	"Online statistical abstract for the State of Colorado."	"Government information"	"View online http://www.colorado.edu/libraries/govpubs/online.htm"
"b13289597"	"07-18-2011"	"Britannica online [computer file]"	"Encyclopaedia britannica"	""	"Available via Internet, http://www.britannica.com"	"The online version of the famous general encyclopedia. Coverage: current"	""	"View online  http://0-www.britannica.com.tiger.coloradocollege.edu"
"b13295962"	"07-19-2007"	"Routledge encyclopedia of philosophy / general editor, Edward Craig"	"Encyclopedia of philosophy"	"Available via Internet, http://www.rep.routledge.com/advanced-search"	""	"Authoritative, scholarly entries on philosophers and philosophical topics. Also in print in the reference collection, B51.R68 1998. Coverage: N/A"	"Philosophy"	"View online version  http://0-www.rep.routledge.com.tiger.coloradocollege.edu/advanced-search"
"b13419614"	"08-19-2008"	"Bureau of Justice Statistics [computer file]"	"U.S. Department of Justice Bureau of Justice Statistics"|"BJS Website"|"HTML source title: Bureau of Justice Statistics Home page"	""	"Available via Internet, http://www.ojp.usdoj.gov/bjs/"	"Collect, analyze, publish, and disseminate information on crime, criminal offenders, victims of crime, and the operation of justice systems at all levels of government; topics include victims, drugs, criminal offenders, justice system & courts, law enforcement, corrections etc."	"Government information"	"View online http://www.ojp.usdoj.gov/bjs/"
"b13419699"	"08-25-2008"	"National Climatic Data Center [computer file]"	"HTML source title: National Climatic Data Center (NCDC)"	""	"Available via Internet, http://www.ncdc.noaa.gov/"	"Both national and global data describing the climate of the United States and records for the trends and anomalies of weather and climate"	"Government information"	"http://www.ncdc.noaa.gov/ View online"
"b13420239"	"08-25-2008"	"Fedstats [computer file]"	"Fed stats"|"Title from HTML header: Fedstats, one stop shopping for federal statistics"	""	"Mode of access: Internet via World Wide Web browser"	"Statistics from more than 100 agencies that provide data and trend information on such topics as economic and population trends, crime, education, health care, aviation safety, energy use, farm production and more"	"Government information"	"View online http://www.fedstats.gov/"
"b13583050"	"03-19-2009"	"eHRAF collection of ethnography [electronic resource] : a world of cultures at your fingertips"	"eHRAF"|"Electronic human relations area files"|"HRAF collection of ethnography"	""	"Available via Internet, http://ehrafworldcultures.yale.edu/"	"HRAF Collection of Ethnography. The cultural database includes full text of books, chapters, journal articles. Useful for Anthropology, Sociology, Religion, and Women Studies. Coverage: varies"	"Anthropology"	"View online version http://0-ehrafworldcultures.yale.edu.tiger.coloradocollege.edu/"
"b13605227"	"03-19-2012"	"Statistical universe [computer file]"	"Title on title bar: Statistical universe home page"	""	"Available via Interent, http://web.lexis-nexis.com/statuniv"	"Access to US statistical information. Coverage: N/A"	"Economics and business"|"Government information"|"Sociology"	"View online http://0-web.lexis-nexis.com.tiger.coloradocollege.edu/statuniv"
"b13628513"	"06-04-2012"	"Art index retrospective [computer file]"	"Art index retrospective (Online)"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=air"	"Indexes hundreds of international art journals. See Art & Architecture Complete for more recent articles. Coverage: 1929 - 1984"	"Art"	"View online - Art Abstracts & Art Index http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ajh&defaultdb=air"
"b13687803"	"07-08-2008"	"Anthropological index online [computer file] : anthropological index to current periodicals in the Museum of Mankind Library (incorporating the former Royal Anthropological Institute Library)"	"Anthropological index to current periodicals in the Museum of Mankind Library (incorporating the former Royal Anthropological Institute Library)"	""	"Available via Internet, http://aio.anthropology.org.uk/aiosearch/"	"An index to Anthropology journals held by the Museum of Mankind Library. Coverage: 1970 - current"	"Anthropology"	"View online http://0-aio.anthropology.org.uk.tiger.coloradocollege.edu/aiosearch/"
"b13718708"	"08-25-2008"	"National Technical Information Service [computer file] : information is our business"	"Title from source code: National Technical Information Service (NTIS)"|"At head of title: U.S. Department of Commerce"|"NTIS"	""	"Available via Internet, http://www.ntis.gov/"	"Containing over 2.0 million bibliographic records for US government sponsored researh and select foreign governments including research reports, computer products, software, video cassettes, audio cassettes and more; electronic file dates back to 1964"	"Government information"	"http://www.ntis.gov/ View online"
"b13725403"	"07-19-2011"	"Accessible archives [computer file]"	""	""	"Available via Internet, http://www.accessible.com/accessible/preLog"	"Access to archival fulltext newspapers including the Pennsylvania Gazette, African American and Civil War Newspapers, and Godey's Lady's Book. Coverage: 1728 - 1900."	"Race and Ethnic Studies"|"History"	"http://0-www.accessible.com.tiger.coloradocollege.edu/accessible/preLog View online"
"b13726547"	"11-05-2009"	"The Grove dictionary of art online [computer file]"	"Dictionary of art online"	""	"Available via Internet, http://www.groveart.com"	"Comprehensive online reference source for all aspects of the visual arts worldwide from prehistory to the present day. The online version of the Grove Dictionary of Art (Tutt Reference, N31.D5 1996). Now part of Oxford Art Online. Coverage: N/A"	"Art"	"http://0-www.groveart.com.tiger.coloradocollege.edu/ View online version"
"b13732717"	"04-19-2012"	"Nineteenth century masterfile [electronic resource]"	"Colorado College: Poole's plus : Government documents indices (series V)"|"19th century masterfile"|"Also known as: NCM"	""	"Available via Internet, http://poolesplus.odyssi.com/"	"Collection of dozens of indexes to English-language publishing prior to 1930. Indexing coverage includes Poole's Index to Periodical Literature, 1802-1906. Index to Nineteenth century historical periodicals. Government Documents Indices include indexes to: U.S. patents, 1790-1873; U.S. government publications, 1774-1881; British House of Commons and House of Lords, 1803-1830. Indexing also books, newspapers and periodicals. Links to full text in other databases, HathiTrust and Google Books. Coverage: 1200's-1930."	"Anthropology"|"Government information"|"History"|"Political science"	"View online http://0-poolesplus.odyssi.com.tiger.coloradocollege.edu/"
"b13785291"	"05-22-2012"	"World news connection [computer file] : WNC"	"HTML source title: WNC : World news connection"|"WNC"|"Colorado College: FBIS/World news connection"	""	"Available via Internet, http://wnc.dialog.com/"	"Translations of foreign news media by the Foreign Broadcast Information Service (FBIS). Coverage: 1995 - current"	"Government information"|"Political science"	"View online version: http://0-wnc.dialog.com.tiger.coloradocollege.edu/ BE SURE TO CLICK ON  EXIT  WHEN FINISHED"
"b1379761x"	"07-07-2011"	"Ciao [computer file] : Columbia International Affairs Online"	"Colorado College: Columbia International Affairs Online"	""	"Available via Internet, http://www.ciaonet.org/"|"Requires Netscape Navigator 3.0 or higher, or Microsoft Internet Explorer 3.2 or higher for full functionality"	"Journal articles and papers relating to International Affairs. Coverage: varies"	"Political science"	"View online http://0-www.ciaonet.org.tiger.coloradocollege.edu/"
"b13861682"	"07-13-2011"	"Women writers online [computer file]"	"WWO"	""	"Available via Internet, http://wwp.brown.edu/texts/wwoentry.html"	"Contains fulltext of nearly 400 works of early modern women writers. Coverage: 1400 - 1850"	"Comparative literature"|"English language and literature"|"Feminist and gender studies"|"History"	"View online version http://0-www.wwp.brown.edu.tiger.coloradocollege.edu/texts/wwoentry.html"
"b13984172"	"07-07-2011"	"AGRICOLA [computer file]"	"AGRICultural OnLine Access"	"Also available in CD-ROM eds. from OCLC and Silverplatter"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=agr"	"This resource covers  all aspects of agriculture and allied disciplines, including plant and animal sciences, forestry, entomology, soil and water resources, agricultural economics, agricultural engineering, agricultural products, alternative farming practices, and food and nutrition.  Coverage: 1982 - current"	"Agriculture and forestry"|"Biology"|"Environmental sciences"|"Geology"|"Government information"|"Natural sciences"	"View online version http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=agr"
"b13995650"	"03-02-2012"	"Hoover's online [computer file] : the ultimate source for company information"	"Hoover's online"	"Issued also in print form and on CD-ROM"	"Avaialble via Internet, http://www.mergentonline/Hoovers"	"Company financial information with links to official company web pages. Coverage: current"	"Economics and business"	"View online http://0-www.mergentonline.com.tiger.coloradocollege.edu/Hoovers"
"b13995674"	"03-09-2009"	"NBER working paper series [computer file]"	"National Bureau of Economic Research working paper series"|"Title on opening page: Working papers"|"NBER working papers"	"Online version of the print publication: Working paper series (National Bureau of Economic Research)"	"System requirements: Adobe Acrobat reader"|"Available via Internet, http://papers.nber.org/papers.html"	"NBER (National Bureau of Economic Research) working papers focus on empirical research such as the development of new statistical measures, effects of public policy on U.S. economy, and estimating quantitative models of economic behavior. The papers are searchable by subject and available fulltext. Coverage: November 1994 - current"	"Economics and business"|"Government information"	"View online http://0-papers.nber.org.tiger.coloradocollege.edu/papers.html"
"b1402200x"	"07-19-2007"	"The official index to the Times, 1906-1980 [computer file]"	"Title on search screen: History online. The official index 1906-1980"|"Official index 1906-1980"	""	"Available via Internet, http://historynews.chadwyck.com/noframes/search"	"Index to the London Times. Coverage: 1906 - 1980"	"Political science"	"View online version http://0-historynews.chadwyck.com.tiger.coloradocollege.edu/noframes/search"
"b14031954"	"07-13-2011"	"Oxford English dictionary [computer file]"	"Colorado College: OED Online"	""	"System requirements:  Internet Connectivity, WWW browser"|"Available via Internet, http://www.oed.com/"	"Online version of the well-known historical dictionary of English, The Oxford English Dictionary, covering the language from the earliest times to the present day, showing not only the current meanings of words, but also tracing their development through time. Coverage: 1884 - current"	"Comparative literature"|"English language and literature"	"View online version: http://0-www.oed.com.tiger.coloradocollege.edu/"
"b14056860"	"08-19-2008"	"American FactFinder [computer file]"	"American Fact Finder"	""	"Mode of access: Internet from the Census Bureau web site. Address as of 12/21/00: http://factfinder.census.gov/servlet/BasicFactsServlet; current access is available via PURL"	"Gateway to census data for population, housing, economics, business, and government; in data, tables, maps and reports"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS7702"
"b14064327"	"06-08-2009"	"American memory [electronic resource] : historical collections for the National Digital Library"	"American memory from the Library of Congress"	""	"Available via Internet, http://purl.access.gpo.gov/GPO/LPS493"	"Digitized collections from the Library of Congress. Oral histories, letters, photographs, documents. Search by keyword. Coverage: historical"	"Race and Ethnic Studies"|"Government information"|"History"	"View online http://purl.access.gpo.gov/GPO/LPS493"
"b14069167"	"06-19-2012"	"CQ library [computer file]"	"Congressional quarterly library"|"Congressional quarterly weekly"|"Congressional quarterly researcher"|"CQ Online"|"CQ researcher"|"CQ weekly"	"Online version of the print publications: CQ weekly and CQ researcher"	"Mode of access: World Wide Web"|"Online version of the print publications: CQ weekly and CQ researcher.  Available via Internet http://library.cqpress.com/"	"This weekly publication covers the most current and controversial issues of the day with complete summaries, insight into all sides of the issues, bibliographies and more. Coverage: Nov. 1991 - current"	"Government information"|"Political science"	"View online http://0-library.cqpress.com.tiger.coloradocollege.edu/"
"b14076913"	"09-20-2012"	"Catalog of U.S. government publications [electronic resource]"	"Also known as: CGP"|"Catalog of United States government publications"	"Also issued on CD-ROM, ending in 2000, with title: Monthly catalog of United States government publications (CD-ROM); and on CD-ROM with title: Marcive GPO CAT/PAC; also available in print form, ending in 2004"	"Mode of access: Internet from the GPO web site. Address as of 8/16/2006: http://catalog.gpo.gov/F ; current access available via PURL"	"Descriptive records for electronic (links) and print publications from the legislative, executive, and judicial branches of the U.S. government; most records are for items published after 1976 with a growing number of  records for publications dating back to the late 1800s."	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS844"
"b1409745x"	"06-15-2011"	"The Columbia Granger's world of poetry [computer file] : the electronic Granger's"	"Granger's world of poetry"|"World of poetry"|"Electronic Granger's"	"Also available in print and CD-ROM versions"	"Available via Internet, http://www.columbiagrangers.org/"	"The definitive source in English for locating a poem in anthologies. Includes 13,000 poems in full text, and 250,000 poetry citations, in addition to commentaries, biographies, bibliographies, notes on form, and a glossary of prosodic terms. Coverage: 1500 - current"	"Comparative literature"|"English language and literature"	"View online version http://0-www.columbiagrangers.org.tiger.coloradocollege.edu/"
"b14137380"	"05-06-2010"	"The Illinois Researcher Information Service (IRIS) [Computer file]"	"Iris funding opportunities database"|"IRIS"|"Colorado College: IRIS"	""	"Available via Internet, http://www.library.uiuc.edu/iris/"	"Database of grants and other funding opportunities. Coverage: N/A"	""	"View online http://0-www.library.uiuc.edu.tiger.coloradocollege.edu/iris/"
"b14151121"	"08-25-2008"	"Geographic Names Information System (GNIS) [electronic resource] / USGS ; United States Board on Geographic Names"	"GNIS"	"Also issued on CD-ROM, ending with issue for 1999"	"Mode of access: Internet via the USGS web site. Address as of 4/11/01: http://geonames.usgs.gov ; current access is available via PURL"	"The official repository of domestic geographic names data containing information about physical and cultural geographic features of all types in the United States, associated areas, and Antarctica, current and historical, but not including roads and highways"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS1507"
"b14324076"	"09-28-2012"	"USA.gov [electronic resource]"	""	""	"Mode of access: Internet at the GSA web site. Address as 1/7/08: http://www.usa.gov/; curreent access is available via PURL"	"Government information by topic with FAQs; available in many languages"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS89189"
"b14343848"	"09-28-2012"	"GAO reports [electronic resource]"	"GAOṞPTS"	""	"Available on the Federal Bulletin Board via the GPO web site. Address as of 12/05/2001: http://fedbbs.access.gpo.gov/library/list/files/?lib=GAORPTS"	"Reports, testimonies, correspondence, and special publications on audits, surveys, investigations, and evaluations of Federal programs conducted by the U.S. Government Accountability Office (GAO); updated within two business days of a report's release"	"Government information"	"fedbbs.access.gpo.gov 3001 vt100"|"1-202-512-1387 2400-9600 help@eids.gpo.gov U.S. G.P.O., Office of Electronic Information Dissemination Services, Mail Stop SDE, Washington, DC 20401 N-8-1"|"View online http://purl.access.gpo.gov/GPO/LPS16212"
"b14350956"	"03-28-2012"	"MathSciNet [computer file] / American Mathematical Society"	"MathSci net"|"Math sci net"	""	"Available via Internet, http://ams.rice.edu/mathscinet/search"	"Reviews, abstracts and bibliographic information for much of the mathematical sciences literature. Originally based on Mathematical Reviews (MR). Coverage: early 1800s - current."	"Computer science"|"Mathematics"|"Natural sciences"|"Physics"	"View online http://0-ams.rice.edu.tiger.coloradocollege.edu/mathscinet/search"
"b1437111x"	"09-13-2012"	"Congressional universe. Congressional indexes 1789-1972 [computer file] / CIS"	"Congressional indexes 1789-1972"|"CIS congressional universe. Congressional indexes 1789-1972"	""	"Available via Internet, http://congressional.proquest.com/profiles/gis/search/basic/basicsearch"	"Provides access to congressional and legislative information. Includes information about members of congress like voting records, addresses, etc. Coverage: varies"	"Government information"|"Law"|"Political science"	"View online http://0-congressional.proquest.com.tiger.coloradocollege.edu/profiles/gis/search/basic/basicsearch"
"b14431087"	"06-15-2011"	"Foreign Broadcast Information Service electronic index [computer file]"	"Foreign Broadcast Information Service (FBIS) electronic index"|"Colorado College: FBIS index"	""	"Available via Internet, http://infoweb.newsbank.com/"|"System requirements: Internet connectivity, World Wide Webbrowser, and Adobe Acrobat reader"	"Index only to translations of foreign news media by the Foreign Broadcast Information Service. Microfiche text found in Documents/Microfiche area-PrEx 7.10. Coverage: 1975 - 1996"	"Political science"	"View online http://0-infoweb2.newsbank.com.tiger.coloradocollege.edu/"
"b14438574"	"03-30-2009"	"PsycINFO [computer file]"	"PsycINFO 1887-current"	"Contains the equivalent of the APA databases, Psychological Abstracts and PsycLIT"	"System requirements: Web browser"|"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=psyh"	"Comprehensive international database of psychology. Covers the academic, research, and practice literature in psychology. NOTE: You can search both PsycINFO and PsycARTICLES at the same time. Contact Reference Desk x6662. Coverage: 1887 - current"	"Education"|"Feminist and gender studies"|"Health and medicine"|"Natural sciences"|"Psychology"|"Sport science"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=psyh"
"b14448452"	"04-19-2012"	"Newspaper source [computer file]"	"Title from top of page: Ebscohost"	""	"Avaialable via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=nfh"	"Full text for more than 40 major U.S. and international newspapers; also contains selective full text for more than 330 regional U.S. newspapers and full text transcripts from television and radio news. Coverage: 1985-current."	""	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=nfh"
"b14448464"	"07-07-2011"	"Professional development collection [computer file]"	"Title from top of page: Ebscohost"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=tfh"	"Highly specialized collection of nearly 440 full text journals, designed for professional educators. Coverage: 1984 - current"	"Education"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=tfh"
"b14448506"	"10-22-2008"	"Middle search plus [computer file]"	"Title at top of page: Ebscohost"	"Also available on CD-ROM"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mih"	"For middle and junior high school students, with 140 full text titles (with Lexile reading level), as well as historical essays, 84,700 biographies, over 235,000 images, and 100,000 primary source documents."	"Education"|"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=mih"
"b1444852x"	"07-07-2011"	"ERIC [computer file]"	"Title at top of page: Ebscohost"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eric"	"References to thousands of educational topics. Includes journal articles, books, theses, curriculi, conference papers, and standards and guidelines. Coverage: 1966 - current"	"Education"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=eric"
"b14448543"	"04-19-2012"	"Primary search [computer file]"	"Title at top of page: Ebscohost"	""	"Available via Internet, http://search.ebscohost.com/login.asp?profile=primary"	"Primary Search contains full text for over 80 popular, elementary school magazines. All full text articles are assigned a reading level indicator (Lexiles). Also includes the Encyclopedia of Animals, Funk & Wagnalls New World Encyclopedia, the American Heritage Children's Dictionary, and thousands of relevant photos, maps and flags."	"Education"|"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=prh"
"b14465802"	"09-06-2012"	"Funk & Wagnalls new world encyclopedia [electronic resource]"	"Funk and Wagnalls new world encyclopedia"|"Title on  About the database  page: Funk & Wagnalls new encyclopedia"|"New world encyclopedia"	""	"http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=funk"	"Encyclopedia database containing various images, offering brief biographies as well as information in a variety of subject areas"	""	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=funk"
"b14470068"	"01-07-2010"	"EUROSTAT [electronic resource]"	""	""	"Available via Internet, http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"	"Comparable and harmonized data of the the European Union, its Member States and its partners."	"Government information"	"View online http://epp.eurostat.ec.europa.eu/portal/page/portal/eurostat/home/"
